"Action","Type","Asset","Source","Updated","Destination","Reason","Source Path Relative to Home"
"superseded-legacy","skills","code-forensics-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/code-forensics-weapon"
"active-paired","agents","code-forensics-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\code-forensics-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/code-forensics-worker-bee.md"
"superseded-legacy","agents","code-review-pr-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/code-review-pr-guardian.md"
"active-canonical","skills","code-review-pr-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\code-review-pr-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/code-review-pr-stinger"
"canonical-authority","skills","code-review-pr-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/code-review-pr-stinger"
"superseded-legacy","skills","code-review-pr-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/code-review-pr-weapon"
"active-canonical","agents","code-review-pr-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\code-review-pr-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/code-review-pr-worker-bee.md"
"canonical-authority","agents","code-review-pr-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/code-review-pr-worker-bee.toml"
"superseded-legacy","agents","cold-outreach-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/cold-outreach-guardian.md"
"active-paired","skills","cold-outreach-stinger","user global claude","6/18/2026 5:54:37 AM","skills\cold-outreach-stinger","complete pair or additive non-pair asset",".claude/skills/cold-outreach-stinger"
"superseded-legacy","skills","cold-outreach-weapon","legion-suite cursor","5/22/2026 11:01:54 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/cold-outreach-weapon"
