"Action","Type","Asset","Source","Updated","Destination","Reason","Source Path Relative to Home"
"active-canonical","agents","http-rest-fundamentals-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\http-rest-fundamentals-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/http-rest-fundamentals-worker-bee.md"
"canonical-authority","agents","http-rest-fundamentals-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/http-rest-fundamentals-worker-bee.toml"
"superseded-legacy","agents","icon-system-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/icon-system-guardian.md"
"active-canonical","skills","icon-system-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\icon-system-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/icon-system-stinger"
"canonical-authority","skills","icon-system-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/icon-system-stinger"
"superseded-legacy","skills","icon-system-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/icon-system-weapon"
"active-canonical","agents","icon-system-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\icon-system-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/icon-system-worker-bee.md"
"canonical-authority","agents","icon-system-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/icon-system-worker-bee.toml"
"superseded-legacy","agents","image-optimization-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/image-optimization-guardian.md"
"active-canonical","skills","image-optimization-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\image-optimization-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/image-optimization-stinger"
"canonical-authority","skills","image-optimization-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/image-optimization-stinger"
"superseded-legacy","skills","image-optimization-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/image-optimization-weapon"
"active-canonical","agents","image-optimization-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\image-optimization-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/image-optimization-worker-bee.md"
"canonical-authority","agents","image-optimization-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/image-optimization-worker-bee.toml"
"active-canonical","skills","impeccable-stinger","vibe-coding-tools canonical","9/5/2026 8:53:32 AM","skills\impeccable-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/impeccable-stinger"
"canonical-authority","skills","impeccable-stinger","vibe-coding-tools local agents","9/5/2026 8:53:32 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/impeccable-stinger"
"active-canonical","agents","impeccable-worker-bee.md","vibe-coding-tools canonical","9/5/2026 8:53:32 AM","agents\impeccable-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/impeccable-worker-bee.md"
"canonical-authority","agents","impeccable-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/impeccable-worker-bee.toml"
"superseded-legacy","agents","incorporation-startup-stack-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/incorporation-startup-stack-guardian.md"
"active-paired","skills","incorporation-startup-stack-stinger","user global claude","6/18/2026 5:54:40 AM","skills\incorporation-startup-stack-stinger","complete pair or additive non-pair asset",".claude/skills/incorporation-startup-stack-stinger"
"superseded-legacy","skills","incorporation-startup-stack-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/incorporation-startup-stack-weapon"
"active-paired","agents","incorporation-startup-stack-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\incorporation-startup-stack-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/incorporation-startup-stack-worker-bee.md"
"superseded-legacy","agents","investor-cap-table-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/investor-cap-table-guardian.md"
"active-paired","skills","investor-cap-table-stinger","user global claude","6/18/2026 5:54:40 AM","skills\investor-cap-table-stinger","complete pair or additive non-pair asset",".claude/skills/investor-cap-table-stinger"
"superseded-legacy","skills","investor-cap-table-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/investor-cap-table-weapon"
"active-paired","agents","investor-cap-table-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\investor-cap-table-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/investor-cap-table-worker-bee.md"
"quarantine-unpaired-or-legacy","skills","invoice-chaser","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\invoice-chaser","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/invoice-chaser"
"superseded-legacy","agents","kanban-flow-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/kanban-flow-guardian.md"
"active-canonical","skills","kanban-flow-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\kanban-flow-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/kanban-flow-stinger"
"canonical-authority","skills","kanban-flow-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/kanban-flow-stinger"
"superseded-legacy","skills","kanban-flow-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/kanban-flow-weapon"
"active-canonical","agents","kanban-flow-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\kanban-flow-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/kanban-flow-worker-bee.md"
"canonical-authority","agents","kanban-flow-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/kanban-flow-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","knowledge-base-builder","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\knowledge-base-builder","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/knowledge-base-builder"
"superseded-legacy","agents","knowledge-base-help-center-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/knowledge-base-help-center-guardian.md"
"active-paired","skills","knowledge-base-help-center-stinger","user global claude","6/18/2026 5:54:40 AM","skills\knowledge-base-help-center-stinger","complete pair or additive non-pair asset",".claude/skills/knowledge-base-help-center-stinger"
"superseded-legacy","skills","knowledge-base-help-center-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/knowledge-base-help-center-weapon"
"active-paired","agents","knowledge-base-help-center-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\knowledge-base-help-center-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/knowledge-base-help-center-worker-bee.md"
"active-canonical","skills","knowledge-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\knowledge-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/knowledge-stinger"
"canonical-authority","skills","knowledge-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/knowledge-stinger"
"active-canonical","agents","knowledge-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\knowledge-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/knowledge-worker-bee.md"
"canonical-authority","agents","knowledge-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/knowledge-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","lead-harvester","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\lead-harvester","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/lead-harvester"
"quarantine-unpaired-or-legacy","skills","learning-capturer","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\learning-capturer","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/learning-capturer"
"superseded-legacy","agents","legal-docs-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/legal-docs-guardian.md"
"active-paired","skills","legal-docs-stinger","user global claude","6/18/2026 5:54:40 AM","skills\legal-docs-stinger","complete pair or additive non-pair asset",".claude/skills/legal-docs-stinger"
"superseded-legacy","skills","legal-docs-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/legal-docs-weapon"
"active-paired","agents","legal-docs-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\legal-docs-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/legal-docs-worker-bee.md"
"superseded-legacy","agents","library-guardian.md","legion-suite cursor","5/24/2026 4:25:34 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/library-guardian.md"
"active-canonical","skills","library-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\library-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/library-stinger"
"canonical-authority","skills","library-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/library-stinger"
"superseded-legacy","skills","library-weapon","legion-suite cursor","5/21/2026 12:01:13 AM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/library-weapon"
"active-canonical","agents","library-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\library-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/library-worker-bee.md"
"canonical-authority","agents","library-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/library-worker-bee.toml"
"canonical-authority","skills","lifecycle-email-stinger","vibe-coding-tools local cursor","9/5/2026 9:53:42 AM","","canonical-authority","GitHub/vibe-coding-tools/.cursor/skills/lifecycle-email-stinger"
"active-canonical","skills","lifecycle-email-stinger","vibe-coding-tools canonical","9/4/2026 4:13:31 AM","skills\lifecycle-email-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/lifecycle-email-stinger"
"active-canonical","agents","lifecycle-email-worker-bee.md","vibe-coding-tools canonical","9/4/2026 4:14:45 AM","agents\lifecycle-email-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/lifecycle-email-worker-bee.md"
"canonical-authority","agents","lifecycle-email-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 9:53:41 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/lifecycle-email-worker-bee.toml"
"superseded-legacy","agents","lighthouse-pagespeed-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/lighthouse-pagespeed-guardian.md"
"active-canonical","skills","lighthouse-pagespeed-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\lighthouse-pagespeed-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/lighthouse-pagespeed-stinger"
"canonical-authority","skills","lighthouse-pagespeed-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/lighthouse-pagespeed-stinger"
"superseded-legacy","skills","lighthouse-pagespeed-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/lighthouse-pagespeed-weapon"
"active-canonical","agents","lighthouse-pagespeed-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\lighthouse-pagespeed-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/lighthouse-pagespeed-worker-bee.md"
"canonical-authority","agents","lighthouse-pagespeed-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/lighthouse-pagespeed-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","littlebird-voice-creator","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\littlebird-voice-creator","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/littlebird-voice-creator"
"superseded-legacy","agents","live-chat-support-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/live-chat-support-guardian.md"
"active-paired","skills","live-chat-support-stinger","user global claude","6/18/2026 5:54:41 AM","skills\live-chat-support-stinger","complete pair or additive non-pair asset",".claude/skills/live-chat-support-stinger"
"superseded-legacy","skills","live-chat-support-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/live-chat-support-weapon"
"active-paired","agents","live-chat-support-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\live-chat-support-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/live-chat-support-worker-bee.md"
"active-paired","skills","lovable-audit-stinger","user global agents","8/31/2026 6:53:56 AM","skills\lovable-audit-stinger","complete pair or additive non-pair asset",".agents/skills/lovable-audit-stinger"
"active-paired","agents","lovable-audit-worker-bee.md","user global agents","8/31/2026 7:05:21 AM","agents\lovable-audit-worker-bee.md","complete pair or additive non-pair asset",".agents/agents/lovable-audit-worker-bee.md"
"quarantine-unpaired-or-legacy","skills","mario-voice-skill","user global codex","8/18/2026 7:35:55 AM","quarantine\skills\mario-voice-skill","unpaired or unmatched legacy asset",".codex/skills/mario-voice-skill"
"superseded-legacy","agents","markdown-mdx-content-pipeline-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/markdown-mdx-content-pipeline-guardian.md"
"active-canonical","skills","markdown-mdx-content-pipeline-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\markdown-mdx-content-pipeline-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/markdown-mdx-content-pipeline-stinger"
"canonical-authority","skills","markdown-mdx-content-pipeline-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/markdown-mdx-content-pipeline-stinger"
"superseded-legacy","skills","markdown-mdx-content-pipeline-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/markdown-mdx-content-pipeline-weapon"
"active-canonical","agents","markdown-mdx-content-pipeline-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\markdown-mdx-content-pipeline-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/markdown-mdx-content-pipeline-worker-bee.md"
"canonical-authority","agents","markdown-mdx-content-pipeline-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/markdown-mdx-content-pipeline-worker-bee.toml"
"active-canonical","skills","mcp-protocol-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\mcp-protocol-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/mcp-protocol-stinger"
"canonical-authority","skills","mcp-protocol-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/mcp-protocol-stinger"
"active-canonical","agents","mcp-protocol-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\mcp-protocol-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/mcp-protocol-worker-bee.md"
"canonical-authority","agents","mcp-protocol-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/mcp-protocol-worker-bee.toml"
"active-canonical","skills","mcp-tool-docs-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\mcp-tool-docs-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/mcp-tool-docs-stinger"
"canonical-authority","skills","mcp-tool-docs-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/mcp-tool-docs-stinger"
"active-canonical","agents","mcp-tool-docs-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\mcp-tool-docs-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/mcp-tool-docs-worker-bee.md"
"canonical-authority","agents","mcp-tool-docs-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/mcp-tool-docs-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","meeting-scribe","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\meeting-scribe","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/meeting-scribe"
"superseded-legacy","agents","mind-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/mind-guardian.md"
"active-canonical","skills","mind-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\mind-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/mind-stinger"
"canonical-authority","skills","mind-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/mind-stinger"
"superseded-legacy","skills","mind-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/mind-weapon"
"active-canonical","agents","mind-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\mind-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/mind-worker-bee.md"
"canonical-authority","agents","mind-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/mind-worker-bee.toml"
"superseded-legacy","agents","modal-toast-dialog-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/modal-toast-dialog-guardian.md"
"active-canonical","skills","modal-toast-dialog-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\modal-toast-dialog-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/modal-toast-dialog-stinger"
"canonical-authority","skills","modal-toast-dialog-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/modal-toast-dialog-stinger"
"superseded-legacy","skills","modal-toast-dialog-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/modal-toast-dialog-weapon"
"active-canonical","agents","modal-toast-dialog-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\modal-toast-dialog-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/modal-toast-dialog-worker-bee.md"
"canonical-authority","agents","modal-toast-dialog-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/modal-toast-dialog-worker-bee.toml"
"quarantine-unpaired-or-legacy","skills","money-leak-auditor","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\money-leak-auditor","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/money-leak-auditor"
"active-paired","skills","natural-photography-stinger","user global codex","8/18/2026 2:21:14 AM","skills\natural-photography-stinger","complete pair or additive non-pair asset",".codex/skills/natural-photography-stinger"
"active-paired","agents","natural-photography-worker-bee.toml","user global codex","8/18/2026 2:26:34 AM","agents\natural-photography-worker-bee.toml","complete pair or additive non-pair asset",".codex/agents/natural-photography-worker-bee.toml"
"active-canonical","skills","neon-drizzle-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\neon-drizzle-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/neon-drizzle-stinger"
"canonical-authority","skills","neon-drizzle-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/neon-drizzle-stinger"
"active-canonical","agents","neon-drizzle-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\neon-drizzle-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/neon-drizzle-worker-bee.md"
"canonical-authority","agents","neon-drizzle-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/neon-drizzle-worker-bee.toml"
"superseded-legacy","agents","newsletter-platform-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/newsletter-platform-guardian.md"
"active-paired","skills","newsletter-platform-stinger","user global claude","6/18/2026 5:54:41 AM","skills\newsletter-platform-stinger","complete pair or additive non-pair asset",".claude/skills/newsletter-platform-stinger"
"superseded-legacy","skills","newsletter-platform-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/newsletter-platform-weapon"
"active-paired","agents","newsletter-platform-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\newsletter-platform-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/newsletter-platform-worker-bee.md"
"active-canonical","rules","no-em-dashes.md","vibe-coding-tools canonical","8/14/2026 9:51:15 PM","rules\no-em-dashes.md","canonical baseline","GitHub/vibe-coding-tools/.claude/rules/no-em-dashes.md"
"canonical-authority","rules","no-em-dashes.md","user global claude","8/14/2026 9:51:15 PM","","canonical-authority",".claude/rules/no-em-dashes.md"
"superseded-legacy","agents","okr-goal-setting-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/okr-goal-setting-guardian.md"
"active-paired","skills","okr-goal-setting-stinger","user global claude","6/18/2026 5:54:41 AM","skills\okr-goal-setting-stinger","complete pair or additive non-pair asset",".claude/skills/okr-goal-setting-stinger"
"superseded-legacy","skills","okr-goal-setting-weapon","legion-suite cursor","5/22/2026 11:01:55 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/okr-goal-setting-weapon"
"active-paired","agents","okr-goal-setting-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\okr-goal-setting-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/okr-goal-setting-worker-bee.md"
"quarantine-unpaired-or-legacy","skills","osint-investigator","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\osint-investigator","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/osint-investigator"
"active-additive","hooks","ospry-main-guard.mjs","user global claude","9/2/2026 6:27:06 AM","hooks\ospry-main-guard.mjs","complete pair or additive non-pair asset",".claude/hooks/ospry-main-guard.mjs"
"superseded-legacy","agents","payments-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/payments-guardian.md"
"active-canonical","skills","payments-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\payments-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/payments-stinger"
"canonical-authority","skills","payments-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/payments-stinger"
"superseded-legacy","skills","payments-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/payments-weapon"
"active-canonical","agents","payments-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\payments-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/payments-worker-bee.md"
"canonical-authority","agents","payments-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/payments-worker-bee.toml"
"active-canonical","rules","plan-construction-protocol.md","vibe-coding-tools canonical","8/14/2026 9:51:15 PM","rules\plan-construction-protocol.md","canonical baseline","GitHub/vibe-coding-tools/.claude/rules/plan-construction-protocol.md"
"canonical-authority","rules","plan-construction-protocol.md","user global claude","8/14/2026 9:51:15 PM","","canonical-authority",".claude/rules/plan-construction-protocol.md"
"active-canonical","skills","posthog-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\posthog-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/posthog-stinger"
"canonical-authority","skills","posthog-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/posthog-stinger"
"active-canonical","agents","posthog-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\posthog-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/posthog-worker-bee.md"
"canonical-authority","agents","posthog-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/posthog-worker-bee.toml"
"active-canonical","rules","pr-conflict-check.md","vibe-coding-tools canonical","8/14/2026 9:51:15 PM","rules\pr-conflict-check.md","canonical baseline","GitHub/vibe-coding-tools/.claude/rules/pr-conflict-check.md"
"canonical-authority","rules","pr-conflict-check.md","user global claude","8/14/2026 9:51:15 PM","","canonical-authority",".claude/rules/pr-conflict-check.md"
"quarantine-unpaired-or-legacy","skills","pre-call-prep","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\pre-call-prep","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/pre-call-prep"
"superseded-legacy","agents","preact-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/preact-guardian.md"
"active-canonical","skills","preact-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\preact-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/preact-stinger"
"canonical-authority","skills","preact-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/preact-stinger"
"superseded-legacy","skills","preact-weapon","legion-suite cursor","5/22/2026 11:01:56 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/preact-weapon"
"active-canonical","agents","preact-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\preact-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/preact-worker-bee.md"
"canonical-authority","agents","preact-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/preact-worker-bee.toml"
"superseded-legacy","agents","product-feedback-roadmap-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/product-feedback-roadmap-guardian.md"
