"Asset Type","Asset","Source","Harness","Last Updated UTC","Path Relative to Home","Kind","Source Relative Path"
"agents","http-rest-fundamentals-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/http-rest-fundamentals-worker-bee.md","file",".claude/agents/http-rest-fundamentals-worker-bee.md"
"agents","http-rest-fundamentals-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/http-rest-fundamentals-worker-bee.md","file",".agents/agents/http-rest-fundamentals-worker-bee.md"
"agents","http-rest-fundamentals-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/http-rest-fundamentals-worker-bee.md","file",".cursor/agents/http-rest-fundamentals-worker-bee.md"
"agents","http-rest-fundamentals-worker-bee.toml","user global codex","","8/15/2026 4:05:50 AM",".codex/agents/http-rest-fundamentals-worker-bee.toml","file","agents/http-rest-fundamentals-worker-bee.toml"
"agents","http-rest-fundamentals-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/http-rest-fundamentals-worker-bee.toml","file",".codex/agents/http-rest-fundamentals-worker-bee.toml"
"agents","icon-system-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/icon-system-guardian.md","file",".cursor/agents/icon-system-guardian.md"
"agents","icon-system-worker-bee.md","user global agents","","8/15/2026 4:05:50 AM",".agents/agents/icon-system-worker-bee.md","file","agents/icon-system-worker-bee.md"
"agents","icon-system-worker-bee.md","user global claude","","8/15/2026 4:05:50 AM",".claude/agents/icon-system-worker-bee.md","file","agents/icon-system-worker-bee.md"
"agents","icon-system-worker-bee.md","user global cursor","","8/15/2026 4:05:50 AM",".cursor/agents/icon-system-worker-bee.md","file","agents/icon-system-worker-bee.md"
"agents","icon-system-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/icon-system-worker-bee.md","file",".claude/agents/icon-system-worker-bee.md"
"agents","icon-system-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/icon-system-worker-bee.md","file",".agents/agents/icon-system-worker-bee.md"
"agents","icon-system-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/icon-system-worker-bee.md","file",".cursor/agents/icon-system-worker-bee.md"
"agents","icon-system-worker-bee.toml","user global codex","","8/15/2026 4:05:50 AM",".codex/agents/icon-system-worker-bee.toml","file","agents/icon-system-worker-bee.toml"
"agents","icon-system-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/icon-system-worker-bee.toml","file",".codex/agents/icon-system-worker-bee.toml"
"agents","image-optimization-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/image-optimization-guardian.md","file",".cursor/agents/image-optimization-guardian.md"
"agents","image-optimization-worker-bee.md","user global agents","","8/15/2026 4:05:50 AM",".agents/agents/image-optimization-worker-bee.md","file","agents/image-optimization-worker-bee.md"
"agents","image-optimization-worker-bee.md","user global claude","","8/15/2026 4:05:50 AM",".claude/agents/image-optimization-worker-bee.md","file","agents/image-optimization-worker-bee.md"
"agents","image-optimization-worker-bee.md","user global cursor","","8/15/2026 4:05:50 AM",".cursor/agents/image-optimization-worker-bee.md","file","agents/image-optimization-worker-bee.md"
"agents","image-optimization-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/image-optimization-worker-bee.md","file",".claude/agents/image-optimization-worker-bee.md"
"agents","image-optimization-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/image-optimization-worker-bee.md","file",".agents/agents/image-optimization-worker-bee.md"
"agents","image-optimization-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/image-optimization-worker-bee.md","file",".cursor/agents/image-optimization-worker-bee.md"
